sample,rank,text_idx,score,encoder
0,1,0,0.2655,mlp
1,1,1,0.1849,mlp
2,1,0,0.0769,mlp
0,2,2,-0.0301,mlp
1,2,2,-0.0235,mlp
2,2,2,-0.0056,mlp
0,3,1,-0.2524,mlp
1,3,0,-0.2128,mlp
2,3,1,-0.0695,mlp
0,1,1,0.0521,vit3d
1,1,1,0.2328,vit3d
2,1,0,-0.1062,vit3d
0,2,0,0.0162,vit3d
1,2,0,-0.0182,vit3d
2,2,2,-0.1279,vit3d
0,3,2,-0.0921,vit3d
1,3,2,-0.1525,vit3d
2,3,1,-0.2722,vit3d
0,1,0,0.1904,gnn
1,1,1,0.1953,gnn
2,1,0,0.0373,gnn
0,2,2,-0.0594,gnn
1,2,2,-0.005,gnn
2,2,1,-0.0105,gnn
0,3,1,-0.2622,gnn
1,3,0,-0.1793,gnn
2,3,2,-0.0148,gnn
